crop,canonical_class,priority_tier,current_field_support,field_accuracy_pct,recommended_new_field_images,legitimately_supplied_by_fieldplant,targeted_source_strategy,primary_justification
Tomato,Healthy,P1 (100% False-Positive Disease Rate),58,0.0,50,YES (FieldPlant 'Tomato Healthy'),FieldPlant (author original) - genuine field foliage under natural daylight and soil background,"Every single healthy field leaf was falsely diagnosed as diseased (32 Late Blight, 23 Early Blight) due to lack of outdoor healthy leaves in training."
Tomato,Mosaic Virus,P1 (Severe Field Failure & Missing Representation),40,0.0,40,YES (FieldPlant 'Tomato Leaf Mosaic Virus'),FieldPlant (author original) - pathologist-verified systemic mosaic mottling in field plantations,0% accuracy on field benchmark. Completely absorbed by Late Blight (25) and Early Blight (13). FieldPlant directly provides verified field examples.
Tomato,Yellow Leaf Curl Virus,P1 (Attractor Break & Field Recovery),56,7.1,40,YES (FieldPlant 'Tomato Leaf Yellow Virus'),"FieldPlant (author original) - upward cupping, margin chlorosis, stunted terminal growth in tropical fields",7.1% field accuracy; 39/56 misclassified into Late Blight. FieldPlant directly supplies authentic tropical field samples.
Tomato,Spider Mites,P1 (Critical Near-Zero: n=2 in Benchmark),2,0.0,45,NO (Not present in original FieldPlant taxonomy),Independent agricultural extension repositories / iNaturalist (requires visual pathology review) - NOT FieldPlant,Only 2 field images exist in current benchmark. FieldPlant does NOT supply Spider Mites; must NOT be falsely claimed.
Tomato,Target Spot,P1 (Critical Zero in Track C),30,0.0,40,NO (FieldPlant 'Brown Spots' cannot be authoritatively mapped without proof),Independent field collections / targeted agricultural photography - NOT FieldPlant,0 field images in Track C. 100% collapsed into Early Blight. FieldPlant 'Brown Spots' is ambiguous and cannot be mapped to Target Spot.
Tomato,Bacterial Spot,P2 (Severe Field Failure),39,5.1,45,NO (FieldPlant 'Bacterial Wilt' [Ralstonia] is biologically distinct from Bacterial Spot [Xanthomonas]),Targeted field collections / university extensions - NOT FieldPlant,"94.9% field error rate. FieldPlant provides Bacterial Wilt (Ralstonia solanacearum), a distinct vascular pathogen; cannot map to Xanthomonas."
Tomato,Leaf Mold,P2 (Severe Field Failure),56,0.0,40,NO (Not present in original FieldPlant taxonomy),High-tunnel and greenhouse field collections - NOT FieldPlant,0% accuracy on field benchmark. Completely absent from FieldPlant.
Tomato,Septoria Leaf Spot,P2 (Attractor Collapse),61,14.8,40,NO (Not present in original FieldPlant taxonomy),Independent agricultural field datasets - NOT FieldPlant,14.8% field accuracy; 33/61 misclassified into Early Blight. Completely absent from FieldPlant.
Tomato,Early Blight,P3 (Attractor Sink Calibration),58,48.3,30,"UNCERTAIN (FieldPlant has generic 'Blight Leaf', not disaggregated into Early vs Late)",Separate independent field collections with definitive Alternaria solani diagnosis,Major attractor sink (186 predictions). Generic 'Blight Leaf' cannot be assumed to be Early Blight without risk of label contamination.
Tomato,Late Blight,P3 (Attractor Sink Calibration),60,73.3,30,"UNCERTAIN (FieldPlant has generic 'Blight Leaf', not disaggregated into Early vs Late)",Separate independent field collections with definitive Phytophthora infestans diagnosis,Universal attractor sink (217 predictions). Generic 'Blight Leaf' cannot be assumed to be Late Blight.
Grape,Powdery Mildew,P1 (Critical Zero in Track C & Severe Field Failure),30,3.3,45,N/A (Grape),"HERMOS (Özacar et al., 2024; Mendeley Data: 10.17632/j4xs3kh3fd.2) - authentic vineyard canopy in Turkey",0 samples in Track C; only 3.3% field accuracy (1/30). HERMOS directly supplies in-situ vineyard Powdery Mildew with CC BY 4.0 license.
Grape,Downy Mildew,P1 (Severe Field Failure),50,4.0,45,N/A (Grape),"HERMOS (Özacar et al., 2024) and Merlot In-Situ Dataset (Phénix et al., 2022)",4.0% field accuracy (2/50). Both HERMOS and Merlot in-situ provide verified outdoor vineyard Plasmopara viticola symptoms.
Grape,Bacterial Leaf Spot,P1 (Critical Absolute Zero: 0 in All Benchmarks),0,0.0,50,N/A (Grape),Targeted iNaturalist/GBIF search for Xanthomonas on Vitis vinifera with manual pathology visual confirmation,"ZERO field images in Track B, Track C, or Phase 18. Internal baseline G1 is lab-only. Zero external benchmarks or public datasets supply this class."
Grape,Esca (Black Measles),P2 (Severe Field Failure),50,2.0,45,N/A (Grape),"ESCA-dataset Standalone (Alessandrini et al., 2021; Mendeley Data: 10.17632/89cnxc58kj.1) - Italian vineyard in-situ",2.0% field accuracy (1/50). G2 (GVLiD) is already in training. Standalone ESCA dataset provides independent European vineyard tiger-stripe foliage.
Grape,Healthy Leaves,P2 (Attractor Calibration),42,66.7,40,N/A (Grape),HERMOS (Özacar et al.) and ESCA-dataset Standalone (Alessandrini et al.),Healthy class is the dominant false attractor (131 field predictions). Realistic canopy foliage needed to calibrate decision boundaries.
Grape,Black Rot,"P3 (Severe Field Failure, Internal G2 Already Present)",58,0.0,30,N/A (Grape),Retain internal G2; investigate if external vineyard Black Rot is available outside of disqualified GLDD/FieldVitis,"0% field accuracy (0/58). Note that GVLiD (3,477 images) is ALREADY internal G2. External non-GLDD vineyard Black Rot is scarce in public repositories."
Grape,Leaf Blight,"P3 (Severe Field Failure, Internal G2 Already Present)",50,4.0,30,N/A (Grape),Retain internal G2; investigate if external vineyard Leaf Blight is available outside of disqualified GLDD/FieldVitis,4.0% field accuracy (2/50). GVLiD is already internal G2. External non-GLDD vineyard Leaf Blight is scarce in public repositories.
