source_id,dataset_name,authoritative_location,source_institution_authors,license,license_clear,total_images,relevant_classes_available,imaging_environment,originality_status,benchmark_collision_risk,status_and_suitability
SRC-GAP-01,"FieldPlant (Moupojou et al., 2023)",https://doi.org/10.1109/ACCESS.2023.3263042 | Roboflow: plant-disease-detection/fieldplant | Kaggle author: emmanuelmoupojou/fieldplant,"University of Dschang (Cameroon) & IPSA (France); Emmanuel Moupojou, Appolinaire Tagne, Florent Retraint, et al.",CC BY 4.0,Yes,5170,"Tomato Healthy, Tomato Leaf Mosaic Virus, Tomato Leaf Yellow Virus. (Bacterial Wilt & Brown Spots present but biologically distinct; Blight Leaf generic).","In-situ field photography on agricultural smallholder plantations in Cameroon; natural sunlight, soil, weeds, canopy clutter",Original field collection. Supervised by plant pathologists (FASA). WARNING: Do NOT use third-party 'Combined PV-PD-FP' mirrors.,"Low prior risk. Mandatory SHA-256 screening against all 9,921 protected benchmark files required prior to acquisition.","APPROVED FOR SHORTLIST (Tomato). Legitimately supplies 3 canonical classes: Healthy, Mosaic Virus, Yellow Leaf Curl Virus. Does NOT supply Spider Mites, Target Spot, Leaf Mold, Septoria, or Late Blight."
SRC-GAP-02,"GVLiD: GrapeVine Leaf identification of Diseases (Shikalgar et al., 2024)",https://doi.org/10.17632/wkymf8bhcg.5,"Annasaheb Dange College of Engg. & Tech. (ADCET), Sangli, Maharashtra; Shikalgar, Savalkar, Bhasme, Chavan, Nikam",CC BY 4.0,Yes,3477,"Healthy (1048), Black rot (758), Esca (832), Leaf blight (839)","In-situ vineyard photography in Sangli, Maharashtra (1080x1080 resolution)","IDENTICAL TO EXISTING INTERNAL G2. Locally verified: grape_2024 directory contains exact same 3,477 files (1080x1080) across Black rot (808), esca (888), healthy (1109), leaf blight (672).",FATAL AS EXTERNAL SOURCE: Already part of our internal training baseline (splits/grape_unified/train.csv).,INTERNAL / ALREADY USED. Disqualified from external acquisition. GVLiD is already our production G2 dataset.
SRC-GAP-03,"HERMOS: Visual Detection of Grape Leaf Diseases (Özacar et al., 2024)",https://doi.org/10.17632/j4xs3kh3fd.2 | J. Information Science (10.1177/01655515221091892),"Manisa Celal Bayar Univ. & Ege Univ., Turkey; Tuğba Özacar, Övünç Öztürk, Nurdan Güngör Savaş",CC BY 4.0,Yes,914,"Powdery Mildew, Downy Mildew, Healthy Leaves (Fourth class: Dead Arm / Phomopsis viticola)","In-situ vineyard photography in Gediz River Basin, West Anatolia, Turkey; natural outdoor lighting, complex vineyard background",Original standalone field dataset. Annotations provided with Pascal VOC bounding boxes for region-level or full-leaf classification.,Low prior risk (independent Turkish collection). Mandatory SHA-256 screening required before acquisition.,"APPROVED FOR SHORTLIST (Grape). Strongly suitable for missing/failing classes: Powdery Mildew (0 in Track C, 3.3% acc), Downy Mildew (4.0% acc), and Healthy foliage."
SRC-GAP-04,"ESCA-dataset Standalone (Alessandrini et al., 2021)",https://doi.org/10.17632/89cnxc58kj.1,"Polytechnic Univ. of Marche & STMicroelectronics, Italy; Michele Alessandrini et al.",CC BY 4.0,Yes,800,"Esca (400), Healthy (400)","In-situ vineyard canopy in Marche, Italy; natural outdoor lighting","Original standalone dataset. (Note: Later incorporated into FieldVitis, but the original Mendeley repository 89cnxc58kj.1 is standalone and unmixed).",Low prior risk. Mandatory SHA-256 screening required before acquisition.,APPROVED AS SUPPLEMENTARY (Grape). Useful for independent European Esca and Healthy diversity. Limited to 2 classes.
SRC-GAP-05,"Merlot Downy Mildew In-Situ Dataset (Phénix et al., 2022)",https://doi.org/10.17632/x9m2d33by8.1,"INRAE & Bordeaux Sciences Agro, France; Sylvain Phénix et al.",CC BY 4.0,Yes,99,"Downy Mildew (Plasmopara viticola), Healthy / Control","In-situ vineyard foliage in Bordeaux, France (Merlot cultivar)",Original standalone research dataset.,Low prior risk. Mandatory SHA-256 screening required before acquisition.,APPROVED AS SUPPLEMENTARY (Grape). Targeted for Downy Mildew field diversity. Small sample size (99 images).
SRC-GAP-06,iNaturalist / GBIF Research-Grade Observations,https://www.gbif.org | https://www.inaturalist.org,Global Biodiversity Information Facility & California Academy of Sciences; Citizen Scientists & Verified Botanists,Filterable: CC0 and CC BY only,Conditional (Filter strictly for CC0/CC BY),50000,Vitis vinifera foliage with leaf pathology (Targeted for Bacterial Leaf Spot: Xanthomonas spp.),"Authentic outdoor real-world vineyard, farm, and wild environments globally",Original observation stream; not derived from computer vision datasets.,Low systematic risk. Mandatory SHA-256 screening required.,APPROVED AS TARGETED SOURCE (Grape Bacterial Leaf Spot). Specifically required because Bacterial Leaf Spot has ZERO field samples in all benchmarks and repositories. Requires manual visual pathology verification.
SRC-GAP-07,FieldVitis Dataset (Zenodo),https://doi.org/10.5281/zenodo.10055273,Precision Agriculture Research Team,CC BY 4.0,Yes,4120,"Black rot, Esca, Leaf blight, Healthy",Mixed field and web scrape,"AGGREGATED DATASET. Documentation explicitly confirms combination of ESCA-dataset, PlantDoc-Dataset, and Grape Disease datasets.","FATAL. Contains PlantDoc, which directly contaminates Track B, Track C, and Chilli Exp 5 benchmarks.",DISQUALIFIED. Benchmark contamination risk via included PlantDoc images.
SRC-GAP-08,"GLDD: Grape Leaf Disease Dataset (Liu et al., 2020)",https://github.com/GrapeLeafDisease/GLDD,"Northwest A&F University, China; Liu et al.",CC BY 4.0,Yes,4449,"Black Rot, Esca, Leaf Blight, Downy Mildew, Healthy",Vineyard mobile photography under natural lighting,Original field acquisition.,"HIGH. 140 images already reside in held-out benchmarks (60 in Track B, 80 in Track C).",DEFERRED. Not acquired in this round due to active presence in Track B and Track C benchmarks.
SRC-GAP-09,"PlantDoc Dataset (Singh et al., 2019)",https://github.com/pratik2901/plant-doc-dataset,IIT Bombay; Pratik Singh et al.,MIT / Academic,Yes,2598,"6 Tomato classes, 3 Grape classes",Internet web scrape,Web-scraped compilation.,FATAL. 180 images in Track B/C and 115 in Chilli Exp 5.,DISQUALIFIED. Active benchmark asset. Using for training causes direct evaluation leakage.
SRC-GAP-10,Niphad Grape Leaf Disease Dataset (NGLD / Dharrao et al.),https://doi.org/10.17632/pepe8901.1,"Dr. Sunita Dharrao et al., Nashik, Maharashtra, India",CC BY 4.0,Yes,2726,"Downy Mildew, Powdery Mildew, Bacterial Leaf Spot, Healthy",Field mobile captures in Niphad grape vineyards,INTERNAL SOURCE G1. This is the exact dataset used for our internal baseline training (grape_niphad).,FATAL AS EXTERNAL SOURCE. Already in internal splits.,INTERNAL / ALREADY USED. Disqualified from external acquisition. Already our G1 baseline dataset.
