Crop,Source Dataset,File Path,True Label,Predicted Label,Confidence (%),Confusion Category,Reason Selected
Grape,Grape G2 (Mendeley 2024),D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight508.jpg,Leaf Blight,Esca (Black Measles),99.05,Mutual Foliar Necrosis Confusion,High-confidence misclassification exemplifying mutual confusion between irregular necrotic lesions with yellow halos in Isariopsis Clavispora and Esca tiger-stripe necrosis.
Grape,Grape G2 (Mendeley 2024),D:\CropDiseaseProject\grape_2024\esca\esca517.jpg,Esca (Black Measles),Leaf Blight,97.16,Mutual Foliar Necrosis Confusion,Reverse pair of Leaf Blight<->Esca confusion where interveinal browning on Esca leaves is classified as fungal Leaf Blight with 97.16% confidence.
Grape,Grape G2 (Mendeley 2024),D:\CropDiseaseProject\grape_2024\leaf blight\leaf blight143.jpg,Leaf Blight,Black Rot,99.95,Necrotic Margin Confusion,Very high confidence (99.95%) error where dark perimeter rings around blight spots resemble early circular Black Rot lesions.
Grape,"Grape G1 (Niphad, Nashik)",D:\CropDiseaseProject\grape_niphad\Bacterial Leaf Spot\Bacterial Leaf Spot_85.png,Bacterial Leaf Spot,Downy Mildew,98.32,Regional Fungal/Bacterial Overlap,Top confident error in G1 Niphad (98.32%) where diffuse bacterial water-soaked spot resembles oil-spot chlorosis of Downy Mildew under field lighting.
Sugarcane,Sugarcane S1 (Maharashtra Regional),D:\CropDiseaseProject\sugarcane_maharashtra\RedRot\redrot (13).jpeg,Red Rot,Brown Spot,93.19,Cross-Dataset Pathology Infiltration,Demonstrates S1 Red Rot foliage lesions being classified as S2-introduced Brown Spot (93.19% confidence) due to elongated brown-red necrotic stripes.
Sugarcane,Sugarcane S1 (Maharashtra Regional),D:\CropDiseaseProject\sugarcane_maharashtra\RedRot\redrot (394).jpeg,Red Rot,Rust (Brown Rust),89.31,Pustule vs Lesion Confusion,Red Rot foliar lesions classified as Brown Rust (89.31% confidence) due to reddish-brown coloration along sugarcane leaf veins.
Sugarcane,Sugarcane S1 (Maharashtra Regional),D:\CropDiseaseProject\sugarcane_maharashtra\Mosaic\mosaic (228).jpeg,Mosaic / Viral Disease,Healthy Leaves,97.02,Subtle Symptom Attenuation,Mosaic virus leaves with faint green mottling misclassified as Healthy (97.02% confidence) due to absence of dark necrosis or distinctive structural destruction.
Sugarcane,Sugarcane S2 (Large Sugarcane),D:\CropDiseaseProject\sugarcane_large\Diseases\smut\Smut068.jpg,Smut,Pokkah Boeng,85.79,Spindle Whorl Morphological Similarity,"Top pair in S2 (14 samples). Smut whip distortions and Pokkah Boeng top-rot both disrupt the apical whorl, producing similar twisted plant silhouettes."
Sugarcane,Sugarcane S2 (Large Sugarcane),D:\CropDiseaseProject\sugarcane_large\Diseases\Brown Spot\image1107.jpg,Brown Spot,Yellow Leaf Disease,95.89,Chlorosis Background Dominance,Largest confusion count in S2 (24 samples). Severe brown spotting surrounded by generalized chlorosis leads the model to trigger on broad yellowing rather than focal spots.
Sugarcane,Sugarcane S2 (Large Sugarcane),D:\CropDiseaseProject\sugarcane_large\Diseases\Banded Chlorosis\image188.jpg,Banded Chlorosis,Brown Spot,77.36,Secondary Necrotic Margin Confusion,Cold-injury chlorotic bands developing secondary necrotic margins misclassified as Brown Spot lesions.
Chilli,Chilli C1 (COLD 2024),D:\CropDiseaseProject\chilli_cold\nutritional deficiency\IMG_4869.JPG,Nutritional Deficiency,Cerocospora Leaf Spot,97.03,Majority Class Attractor Effect,"Largest error pair in Chilli (19 samples, 75.0% error rate). Mild chlorotic spots in complex field lighting falsely trigger Cercospora spot features with 97.03% confidence."
Chilli,Chilli C1 (COLD 2024),D:\CropDiseaseProject\chilli_cold\healthy\IMG_5095.JPG,Healthy,Cerocospora Leaf Spot,81.14,Field Noise & Lighting Artifacts,"13 Healthy leaves misclassified as Cercospora due to specular leaf reflections, dust, or background soil particles simulating circular spots."
Tomato,Tomato T1 (PlantVillage),D:\CropDiseaseProject\tomato_plantvillage\Tomato___Early_blight\eabc47ee-5023-476b-9992-53baa566d270___RS_Erly.B 7757.JPG,Early Blight,Septoria Leaf Spot,85.27,Concentric Rings vs Small Spots,Top confusion in Tomato (13 samples). Early blight lesions without pronounced concentric target rings resemble clustered Septoria spots.
Tomato,Tomato T1 (PlantVillage),D:\CropDiseaseProject\tomato_plantvillage\Tomato___Early_blight\9305f21d-4558-49ae-b831-a7a1a4d399c2___RS_Erly.B 7417.JPG,Early Blight,Late Blight,99.75,Large Necrotic Patch Overlap,Severe early blight with expanding water-soaked/dark necrotic tissue classified as Late Blight with 99.75% confidence.
Tomato,Tomato T1 (PlantVillage),D:\CropDiseaseProject\tomato_plantvillage\Tomato___Spider_mites Two-spotted_spider_mite\5a6127d7-01c4-45a4-8ee9-fa61266f57e4___Com.G_SpM_FL 1574.JPG,Spider Mites (Two-spotted),Target Spot,93.22,Stippling vs Pinpoint Target Spots,Largest numeric error pair in Tomato (19 samples). Dense chlorotic stippling from mite feeding aggregates into brown speckled patterns mimicking Target Spot.
